iter	Passed	Remaining
423	2051	12464
424	2056	12459
425	2060	12452
426	2065	12446
427	2070	12443
428	2075	12436
429	2078	12424
430	2082	12413
431	2087	12408
432	2091	12401
433	2096	12395
434	2101	12389
435	2106	12385
436	2110	12379
437	2115	12371
438	2119	12364
439	2123	12357
440	2128	12348
441	2132	12342
442	2137	12335
443	2141	12326
444	2145	12318
445	2150	12313
446	2154	12306
447	2159	12304
448	2164	12296
449	2168	12289
450	2174	12288
451	2178	12280
452	2183	12276
453	2187	12268
454	2192	12263
455	2197	12258
456	2201	12252
457	2206	12247
458	2211	12240
459	2215	12233
460	2220	12228
461	2225	12223
462	2229	12219
463	2234	12214
464	2239	12208
465	2243	12202
466	2248	12196
467	2253	12191
468	2258	12186
469	2262	12179
470	2267	12173
471	2271	12168
472	2276	12163
473	2281	12157
474	2286	12151
475	2290	12145
476	2295	12141
477	2300	12136
478	2304	12127
479	2308	12122
480	2314	12119
481	2318	12111
482	2322	12104
483	2327	12098
484	2331	12091
485	2335	12083
486	2340	12075
487	2344	12068
488	2348	12061
489	2353	12053
490	2357	12047
491	2361	12040
492	2366	12035
493	2371	12032
494	2376	12026
495	2380	12018
496	2385	12012
497	2389	12003
498	2394	11999
499	2398	11993
500	2403	11988
501	2407	11981
502	2412	11975
503	2416	11969
504	2420	11961
505	2425	11954
506	2429	11947
507	2433	11939
508	2437	11930
509	2441	11922
510	2446	11914
511	2450	11908
512	2456	11907
513	2461	11903
514	2465	11897
515	2469	11889
516	2474	11884
517	2479	11878
518	2483	11872
519	2488	11865
520	2492	11861
521	2497	11854
522	2501	11847
523	2506	11842
524	2511	11837
525	2515	11833
526	2520	11829
527	2525	11824
528	2530	11818
529	2535	11814
530	2539	11807
531	2543	11800
532	2548	11795
533	2552	11788
534	2557	11782
535	2561	11772
536	2565	11764
537	2569	11759
538	2574	11754
539	2578	11748
540	2583	11742
541	2588	11740
542	2593	11734
543	2597	11727
544	2602	11723
545	2607	11719
546	2612	11715
547	2616	11708
548	2621	11701
549	2625	11694
550	2629	11685
551	2633	11677
552	2637	11672
553	2642	11666
554	2646	11659
555	2651	11655
556	2656	11650
557	2661	11645
558	2665	11640
559	2670	11635
560	2675	11630
561	2679	11624
562	2684	11618
563	2688	11612
564	2693	11606
565	2697	11600
566	2702	11596
567	2707	11591
568	2711	11586
569	2716	11579
570	2720	11574
571	2725	11568
572	2729	11562
573	2734	11557
574	2738	11550
575	2742	11543
576	2747	11536
577	2751	11529
578	2756	11525
579	2760	11516
580	2763	11507
581	2768	11502
582	2773	11498
583	2777	11492
584	2782	11488
585	2787	11484
586	2791	11476
587	2796	11471
588	2801	11466
589	2805	11459
590	2809	11452
591	2813	11446
592	2818	11439
593	2822	11433
594	2827	11427
595	2831	11421
596	2836	11415
597	2840	11408
598	2845	11404
599	2850	11401
600	2855	11396
601	2859	11390
602	2863	11384
603	2868	11379
604	2873	11374
605	2878	11369
606	2883	11366
607	2888	11362
608	2892	11357
609	2897	11353
610	2902	11348
611	2907	11343
612	2912	11339
613	2916	11332
614	2920	11325
615	2924	11318
616	2929	11313
617	2933	11306
618	2937	11298
619	2941	11291
620	2945	11285
621	2950	11279
622	2954	11272
623	2958	11266
624	2963	11261
625	2967	11254
626	2972	11248
627	2976	11243
628	2981	11239
629	2986	11233
630	2990	11226
631	2994	11221
632	2999	11215
633	3003	11207
634	3006	11199
635	3011	11193
636	3015	11186
637	3019	11180
638	3024	11173
639	3028	11168
640	3033	11162
641	3037	11156
642	3042	11154
643	3047	11147
644	3051	11139
645	3054	11131
646	3058	11124
647	3064	11121
648	3068	11113
649	3072	11107
650	3076	11102
651	3081	11095
652	3085	11089
653	3089	11083
654	3094	11079
655	3098	11072
656	3102	11065
657	3107	11061
658	3112	11056
659	3116	11050
660	3121	11044
661	3125	11039
662	3130	11033
663	3134	11026
664	3138	11020
665	3143	11015
666	3147	11008
667	3151	11002
668	3156	10998
669	3161	10992
670	3171	11007
671	3175	11002
672	3179	10994
673	3183	10987
674	3188	10981
675	3192	10974
676	3196	10968
677	3201	10962
678	3205	10958
679	3209	10951
680	3214	10945
681	3219	10942
682	3224	10938
683	3228	10932
684	3232	10925
685	3237	10919
686	3241	10913
687	3246	10909
688	3251	10905
689	3255	10899
690	3260	10893
691	3264	10888
692	3269	10883
693	3273	10877
694	3277	10870
695	3281	10861
696	3285	10856
697	3289	10849
698	3293	10843
699	3298	10836
700	3302	10831
701	3307	10825
702	3311	10818
703	3315	10811
704	3319	10807
705	3324	10801
706	3330	10800
707	3334	10795
708	3339	10790
709	3343	10782
710	3347	10776
711	3351	10771
712	3356	10765
713	3360	10759
714	3364	10752
715	3369	10747
716	3373	10740
717	3377	10734
718	3381	10728
719	3386	10723
720	3390	10718
721	3395	10712
722	3399	10706
723	3403	10700
724	3408	10694
725	3412	10687
726	3416	10681
727	3420	10674
728	3424	10668
729	3428	10660
730	3433	10655
731	3437	10649
732	3441	10643
733	3445	10635
734	3449	10631
735	3454	10625
736	3458	10619
737	3462	10612
738	3467	10608
739	3471	10600
740	3474	10593
741	3479	10587
742	3483	10581
743	3487	10575
744	3491	10568
745	3495	10562
746	3500	10556
747	3504	10549
748	3507	10542
749	3512	10536
750	3516	10530
751	3520	10523
752	3524	10517
753	3529	10512
754	3533	10505
755	3536	10497
756	3540	10491
757	3544	10485
758	3549	10479
759	3553	10472
760	3557	10465
761	3561	10460
762	3565	10454
763	3569	10448
764	3573	10441
765	3577	10433
766	3582	10428
767	3586	10422
768	3590	10415
769	3594	10409
770	3599	10406
771	3603	10399
772	3607	10393
773	3611	10387
774	3615	10380
775	3619	10374
776	3623	10367
777	3628	10362
778	3632	10355
779	3636	10349
780	3639	10342
781	3644	10335
782	3648	10330
783	3652	10323
784	3656	10316
785	3660	10311
786	3665	10306
787	3669	10301
788	3673	10294
789	3678	10289
790	3682	10283
791	3686	10276
792	3690	10270
793	3694	10265
794	3698	10259
795	3703	10253
796	3707	10247
797	3711	10241
798	3715	10235
799	3719	10229
800	3724	10224
801	3729	10221
802	3734	10217
803	3738	10210
804	3743	10206
805	3747	10200
806	3751	10194
807	3755	10187
