iter	RMSE
0	17.65074039
1	17.38307469
2	17.10741034
3	16.89815569
4	16.70370073
5	16.4828061
6	16.26982849
7	16.04545157
8	15.85898484
9	15.6937187
10	15.55650746
11	15.42370034
12	15.27544023
13	15.12713332
14	14.98487377
15	14.86518676
16	14.72280157
17	14.60867584
18	14.51162856
19	14.40817206
20	14.30610191
21	14.23091826
22	14.12096954
23	14.04028376
24	13.97815035
25	13.89569005
26	13.82654751
27	13.72574959
28	13.64995886
29	13.60035711
30	13.5178212
31	13.44446081
32	13.38249761
33	13.32571835
34	13.2753514
35	13.23450869
36	13.15492813
37	13.08705646
38	13.03371502
39	12.97511982
40	12.93516883
41	12.88087795
42	12.84292282
43	12.80331672
44	12.74519847
45	12.68575563
46	12.64763225
47	12.59110602
48	12.55257031
49	12.52118402
50	12.45780231
51	12.42458855
52	12.37427233
53	12.3460293
54	12.31443149
55	12.27894234
56	12.24417175
57	12.2223716
58	12.16073426
59	12.12164177
60	12.07138315
61	12.04270421
62	11.99580808
63	11.96004319
64	11.92392436
65	11.90303625
66	11.8751668
67	11.84143498
68	11.81513892
69	11.76787619
70	11.74436786
71	11.72066305
72	11.69970481
73	11.66929506
74	11.64558606
75	11.60922842
76	11.5899097
77	11.5669114
78	11.54759371
79	11.50944057
80	11.48746499
81	11.46880123
82	11.45197913
83	11.42375457
84	11.39178442
85	11.37497157
86	11.34399772
87	11.32319333
88	11.31083646
89	11.28864897
90	11.27171564
91	11.25913591
92	11.24491298
93	11.21660294
94	11.19892997
95	11.17813083
96	11.14493947
97	11.13159364
98	11.11782724
99	11.09432165
100	11.07103983
101	11.05279378
102	11.02955103
103	11.01564884
104	11.00125618
105	10.98102274
106	10.95755506
107	10.9371899
108	10.92070131
109	10.91059785
110	10.88966395
111	10.86922165
112	10.85573529
113	10.83643889
114	10.81954723
115	10.79952109
116	10.78792263
117	10.77564174
118	10.75721553
119	10.74633075
120	10.73408553
121	10.72311252
122	10.70914273
123	10.70001564
124	10.68566073
125	10.6722082
126	10.66024874
127	10.64603197
128	10.63343704
129	10.62537027
130	10.61769057
131	10.60951323
132	10.59680443
133	10.58000803
134	10.5688497
135	10.5614616
136	10.55148792
137	10.54357025
138	10.53453214
139	10.52299615
140	10.51259619
141	10.50113842
142	10.49178698
143	10.48334077
144	10.47209679
145	10.46416762
146	10.45627696
147	10.44637496
148	10.43655253
149	10.42846222
150	10.41951526
151	10.41022974
152	10.40043213
153	10.39325221
154	10.38665918
155	10.37914506
156	10.37186376
157	10.36271134
158	10.35240997
159	10.34670344
160	10.33896042
161	10.33280613
162	10.32549265
163	10.31668654
164	10.31017541
165	10.30433227
166	10.29310753
167	10.28526018
168	10.27756518
169	10.27250222
170	10.26778751
171	10.26100804
172	10.25447811
173	10.24651857
174	10.23873088
175	10.2310792
176	10.22454778
177	10.21783566
178	10.20907029
179	10.20413036
180	10.19794581
181	10.18905307
182	10.18214967
183	10.17402067
184	10.16627722
185	10.15915612
186	10.15123333
187	10.14433964
188	10.13586673
189	10.12891743
190	10.12146985
191	10.11338024
192	10.10629044
193	10.10048907
194	10.09356929
195	10.08680235
196	10.07800975
197	10.07125667
198	10.06503651
199	10.05806799
200	10.05168094
201	10.04573212
202	10.03964631
203	10.03333846
204	10.02784434
205	10.02130046
206	10.01519876
207	10.0092583
208	10.00264415
209	9.996079758
210	9.989358939
211	9.984759034
212	9.976977623
213	9.973467159
214	9.965736977
215	9.960875418
216	9.954213788
217	9.948251108
218	9.945008134
219	9.938323577
220	9.934447596
221	9.929007917
222	9.926460495
223	9.920936553
224	9.915546085
225	9.909865282
226	9.904276764
227	9.899627018
228	9.894243375
229	9.891093212
230	9.886627792
231	9.883678043
232	9.877682116
233	9.872675045
234	9.870242951
235	9.862950719
236	9.85778522
237	9.85248917
238	9.84723401
239	9.842071415
240	9.83667685
241	9.830106693
242	9.82351884
243	9.817924401
